[30, 292, 738, 2458, 4997, 13256, 25753, 63229, 123739, 297670, 600176, 1456807, 3064943, 7636637, 16893295, 43692254, 102142393, 276335186, 685138163, 1949517048, 5139868721, 15444997958, 43387338882, 138113910570, 414036528108, 1399617504353, 4483063889700, 16124491933979, 55239816463868]
1 	0 	0
2 	5 	5
3 	6 	11
4 	7 	18
5 	12 	30
6 	38 	68
7 	44 	112
8 	55 	167
9 	64 	231
10 	91 	322
11 	125 	447
12 	148 	595
13 	177 	772
14 	288 	1060
15 	418 	1478
16 	492 	1970
17 	590 	2560
18 	958 	3518
19 	1299 	4817
20 	1549 	6366
21 	2149 	8515
22 	3447 	11962
23 	4109 	16071
24 	5700 	21771
25 	6696 	28467
26 	7983 	36450
27 	11074 	47524
28 	16440 	63964
29 	19601 	83565
30 	27188 	110753
31 	55683 	166436
32 	68056 	234492
33 	133952 	368444
34 	163718 	532162
35 	270079 	802241
36 	330097 	1132338
37 	655563 	1787901
38 	801244 	2589145
39 	1379224 	3968369
40 	1685719 	5654088
41 	7636637 	13290725
42 	16893295 	30184020
43 	43692254 	73876274
44 	102142393 	176018667
45 	276335186 	452353853
46 	685138163 	1137492016
47 	1949517048 	3087009064
48 	5139868721 	8226877785
49 	15444997958 	23671875743
50 	43387338882 	67059214625
51 	138113910570 	205173125195
52 	414036528108 	619209653303
53 	1399617504353 	2018827157656
54 	4483063889700 	6501891047356
55 	16124491933979 	22626382981335
56 	55239816463868 	77866199445203
